kind,record_key,label,year_start,year_end,edition,link
instrument-fate,transmission-20th century,"The two sextants pass to the Národní technické muzeum, Prague, where they are displayed.",,,Instrumenta,../instrumenta/index.html#sec-transmission
period,per-1,Childhood in Scania and Zealand,1546,1559,Loca,../loca/index.html#per-1
period,per-2,Student at Copenhagen,1559,1562,Loca,../loca/index.html#per-2
journey,journey-copenhagen-leipzig-1562,"First study journey: Copenhagen to Leipzig, February–March 1562",1562,1562,Loca,../loca/index.html#journey-copenhagen-leipzig-1562
period,per-3,Leipzig with Vedel,1562,1565,Loca,../loca/index.html#per-3
volume,O_GKS1824,Earliest observations 1563–1582,1563,1582,Observationes,../observationes/index.html#vc-O_GKS1824
volume,O_GKS310,Collectio observationum (Bartholin),1563,,Observationes,../observationes/index.html#vc-O_GKS310
volume,O_LOST_8VO,Lost 8vo observation volume 1563–74,1563,1574,Observationes,../observationes/index.html#vc-O_LOST_8VO
instrument,inst-radius-1564,Radius astronomicus (cross-staff) — the student instrument,1564,1570,Instrumenta,../instrumenta/index.html#inst-radius-1564
journey,journey-leipzig-home-1565,"Return from Leipzig to wartime Denmark, May–June 1565",1565,1565,Loca,../loca/index.html#journey-leipzig-home-1565
period,per-4,The Wanderjahre,1565,1570,Loca,../loca/index.html#per-4
journey,journey-plague-flight-1566,"Plague flight: Wittenberg to Rostock, September 1566",1566,1566,Loca,../loca/index.html#journey-plague-flight-1566
journey,journey-second-study-tour-1566,"Second departure: Denmark to Wittenberg, April 1566",1566,1566,Loca,../loca/index.html#journey-second-study-tour-1566
journey,journey-home-visit-1567,"Summer visit home and return toward Rostock, 1567",1567,1567,Loca,../loca/index.html#journey-home-visit-1567
journey,journey-return-rostock-1568,"Third trip abroad: Denmark to Rostock, New Year 1568",1567,1568,Loca,../loca/index.html#journey-return-rostock-1568
journey,journey-basel-to-augsburg-1569,"Basel to Augsburg by the Danube road, early 1569",1568,1569,Loca,../loca/index.html#journey-basel-to-augsburg-1569
journey,journey-south-to-basel-1568,"Southward across Germany: Rostock to Basel, 1568",1568,1568,Loca,../loca/index.html#journey-south-to-basel-1568
letters-year,letters-1568,"Letters, 1568: 1",1568,1568,Epistolarium,../epistolarium/index.html
instrument,inst-augsburg-quadrant,Quadrans maximus — the great Augsburg quadrant,1569,1574,Instrumenta,../instrumenta/index.html#inst-augsburg-quadrant
instrument,inst-globe,Globus magnus orichalcicus — the great brass globe,1570,1595,Instrumenta,../instrumenta/index.html#inst-globe
journey,journey-augsburg-home-1570,"Homeward from Augsburg to Helsingborg, May–December 1570",1570,1570,Loca,../loca/index.html#journey-augsburg-home-1570
letters-year,letters-1571,"Letters, 1571: 2",1571,1571,Epistolarium,../epistolarium/index.html
period,per-5,"Herrevad, the nova, the lectures, the grand tour",1571,1576,Loca,../loca/index.html#per-5
edition,M_CARMEN_1572,Copenhagen 1572,1572,1572,Typographica,../census/brahe-carmen-ad-fratrem-1572/explorer.html
instrument,inst-halfsextant-smallangles,Half-sextant for small angles,1572,1601,Instrumenta,../instrumenta/index.html#inst-halfsextant-smallangles
instrument,inst-herrevad-sextant,Sextant of Herrevadskloster — the new-star sextant,1572,1574,Instrumenta,../instrumenta/index.html#inst-herrevad-sextant
letters-year,letters-1572,"Letters, 1572: 2",1572,1572,Epistolarium,../epistolarium/index.html
reception,recep-apocalyptic-nova,The apocalyptic sky — the 1572 nova and 1577 comet read as signs,1572,1592,Receptio,../receptio/index.html#recep-apocalyptic-nova
reception,recep-busch-reravius-1572,The 1572 new star in contemporary eyes — Busch & Reravius (1572–73),1572,1573,Receptio,../receptio/index.html#recep-busch-reravius-1572
reception,recep-nova-remnant,SN 1572 — Tycho's Supernova and its remnant,1572,1572,Receptio,../receptio/index.html#recep-nova-remnant
edition,M_NOVA_1573,Copenhagen 1573,1573,1573,Typographica,../census/brahe-de-nova-stella-1573/explorer.html
instrument,inst-smallest-quadrant,Quadrans minor — the smallest (gilt-brass) quadrant,1573,1601,Instrumenta,../instrumenta/index.html#inst-smallest-quadrant
letters-year,letters-1573,"Letters, 1573: 2",1573,1573,Epistolarium,../epistolarium/index.html
likeness,icon-gilt-quadrant,The small gilt brass quadrant — an iconographic instrument,1573,1573,Iconographia,../iconographia/index.html#icon-gilt-quadrant
reception,recep-aeredigte-reception,Tycho in contemporary verse — æredigte and support-poems (1573–1602),1573,1602,Receptio,../receptio/index.html#recep-aeredigte-reception
instrument,inst-steel-sextant-1obs,Steel sextant for a single observer,1574,1601,Instrumenta,../instrumenta/index.html#inst-steel-sextant-1obs
journey,journey-skane-oresund-circuit-1574,The early-1574 Skane-Oresund observing circuit,1574,1574,Loca,../loca/index.html#journey-skane-oresund-circuit-1574
letters-year,letters-1574,"Letters, 1574: 1",1574,1574,Epistolarium,../epistolarium/index.html
journey,journey-grand-tour-1575,The grand tour of 1575,1575,1575,Loca,../loca/index.html#journey-grand-tour-1575
letters-year,letters-1575,"Letters, 1575: 3",1575,1575,Epistolarium,../epistolarium/index.html
instrument,inst-brass-azimuthal-quadrant,Brass azimuthal quadrant,1576,1601,Instrumenta,../instrumenta/index.html#inst-brass-azimuthal-quadrant
