kind,record_key,label,status,date,link
instrument,inst-radius-1564,Radius astronomicus (cross-staff) — the student instrument,lost,1564,../instrumenta/index.html#inst-radius-1564
instrument,inst-augsburg-quadrant,Quadrans maximus — the great Augsburg quadrant,destroyed-1574,1569–1570,../instrumenta/index.html#inst-augsburg-quadrant
instrument,inst-globe,Globus magnus orichalcicus — the great brass globe,destroyed-1728,1570 shell; completed at Hven 1584 (horizon inscription),../instrumenta/index.html#inst-globe
instrument,inst-halfsextant-smallangles,Half-sextant for small angles,destroyed,"1572 (the plate is so dated, and Tycho says he had it made when the new star appeared)",../instrumenta/index.html#inst-halfsextant-smallangles
instrument,inst-herrevad-sextant,Sextant of Herrevadskloster — the new-star sextant,lost,1572,../instrumenta/index.html#inst-herrevad-sextant
instrument,inst-smallest-quadrant,Quadrans minor — the smallest (gilt-brass) quadrant,destroyed,1573,../instrumenta/index.html#inst-smallest-quadrant
instrument,inst-steel-sextant-1obs,Steel sextant for a single observer,destroyed,1574,../instrumenta/index.html#inst-steel-sextant-1obs
instrument,inst-brass-azimuthal-quadrant,Brass azimuthal quadrant,destroyed,1576,../instrumenta/index.html#inst-brass-azimuthal-quadrant
instrument,inst-clocks,Horologia — the observatory clocks,lost,"by 1577, on Hven",../instrumenta/index.html#inst-clocks
instrument,inst-medium-quadrant,Quadrans mediocris azimuthalis — the medium brass quadrant,destroyed,1580,../instrumenta/index.html#inst-medium-quadrant
instrument,inst-mural-quadrant,Quadrans muralis sive Tichonicus — the great mural quadrant,destroyed,1582 (planned from 1576),../instrumenta/index.html#inst-mural-quadrant
instrument,inst-triangular-sextant,Triangular sextant (sextans trigonicus),destroyed,1582,../instrumenta/index.html#inst-triangular-sextant
instrument,inst-bipartite-arc,Arcus bipartitus — the bipartite arc (1583),lost,1583,../instrumenta/index.html#inst-bipartite-arc
instrument,inst-parallactic-azimuth,Parallactic instrument with an azimuth circle,destroyed,1583,../instrumenta/index.html#inst-parallactic-azimuth
instrument,inst-astronomical-sextant,Astronomical sextant with parallel-slit sights,destroyed,"1584 at Hven (the design first devised at Augsburg, c. 1569)",../instrumenta/index.html#inst-astronomical-sextant
