record_key,date_iso,date_raw,calendar,name_as_written,name_expanded,familia_id,viaf_id,standing,kind,reading,origin_or_destination,diary_text,source,page_1876,scan_page,page_basis,grade
d-1585-06-04-a,1585-06-04,4 Jun 1585,Julian,Buch; 2 nob.,Buch (unidentified); two unnamed nobles,,,nobility,departure,Buch departed; two nobles were present,,"Buch abiit, aderant 2 nob.",FRIIS1876,53,63,note located on the page,B
d-1585-06-14-a,1585-06-14,14 Jun 1585,Julian,Typogra.,Typographer (unidentified; possibly connected with the Uraniborg press),,,craftsman,arrival,A typographer visited Uraniborg,,Typogra.,FRIIS1876,54,64,note located on the page,B
d-1586-04-27-a,1586-04-27,27 Apr 1586,Julian,Jacobus; Christiernus,Jacobus (departed; unidentified); Christiernus (arrived; unidentified),,,unknown,arrival,Jacobus departed; Christiernus arrived,,Abiit Jacobus. Christiernus venit.,FRIIS1876,70,80,note located on the page,A
d-1586-06-13-a,1586-06-13,13 Jun 1586,Julian,N.; Welejus,"N. (Nicolaus, probably Krag); Anders Sørensen Vedel (Royal Historiographer; identified in footnote as 'Weleio')",,,scholar,arrival,N. returned from Copenhagen with Anders Sørensen Vedel,Copenhagen,N. rediit cum Weleio.,FRIIS1876,72,82,note located on the page,A
d-1586-06-27-a,1586-06-27,27 Jun 1586,Julian,Regina,Queen Sophie of Denmark (née Sophie of Mecklenburg-Güstrow),COR_DRONNING_SOPHIE,,royalty,arrival,Queen Sophie visited Uraniborg; three-day stay,,Reg.,FRIIS1876,72,82,day's entry on the page,A
d-1586-06-29-a,1586-06-29,29 Jun 1586,Julian,Regina,Queen Sophie of Denmark (née Sophie of Mecklenburg-Güstrow),COR_DRONNING_SOPHIE,,royalty,departure,Queen Sophie departed after three-day visit,,Abiit Regina.,FRIIS1876,73,83,note located on the page,A
d-1586-08-08-a,1586-08-08,8 Aug 1586,Julian,Her. Frederus Dantiscanus; N.H.,Her. Frederus from Danzig; N.H. (unidentified),,,unknown,arrival,Her. Frederus from Danzig came with N.H.,Danzig,Her: Frederus Dantiscanus cum N. H.,FRIIS1876,75,85,note located on the page,B
d-1586-08-12-a,1586-08-12,12 Aug 1586,Julian,D. Soph.,Sophia Brahe (Tycho's sister; married to Otto Thott of Eriksholm),COR_SOPHIE_BRAHE,,family,arrival,Sophia Brahe came by night,,D. Soph. noct.,FRIIS1876,75,85,note located on the page,A
d-1586-08-19-a,1586-08-19,19 Aug 1586,Julian,Legati Schotici,Scottish legates (unidentified; diplomatic mission),,,diplomat,arrival,Scottish legates arrived at 4 PM,Scotland,Legati Schotici H. 4. P. M. ad.,FRIIS1876,75,85,note located on the page,A
d-1586-08-23-a,1586-08-23,23 Aug 1586,Julian,Dux Megapolitanus,Duke Ulrich of Mecklenburg-Güstrow,COR_ULRICH_3,,royalty,arrival,Duke Ulrich came at nine in the morning and departed at four in the afternoon together with the Queen; Friis's footnote (p. 75) names him. On 18 August the diary had noted 'P. Ulrici aduentus deneg.' — the Duke's arrival then denied.,,"H. 9 A. venit, 4 P. dux Ulricus cum Regina decessit.",FRIIS1876,75,85,note located on the page,A
d-1587-04-24-a,1587-04-24,24 Apr 1587,Julian,Frater,"Frater (Tycho's brother, probably Jørgen Brahe or Steen Brahe)",,,family,arrival,Tycho's brother arrived,,Frater ad.,FRIIS1876,86,96,note located on the page,A
d-1587-04-25-a,1587-04-25,25 Apr 1587,Julian,Frater,Frater (Tycho's brother),,,family,departure,Tycho's brother departed,,Fr. ab.,FRIIS1876,86,96,note located on the page,A
d-1587-05-08-a,1587-05-08,8 May 1587,Julian,Frater,Frater (Tycho's brother),,,family,arrival,Tycho's brother was here,,Frater hic fuit.,FRIIS1876,87,97,note located on the page,A
d-1587-05-24-a,1587-05-24,24 May 1587,Julian,Lib. Baro ex Austria,Free Baron from Austria (unidentified),,,nobility,arrival,A free baron from Austria visited Uraniborg,Austria,Lib. Baro ex Austria.,FRIIS1876,88,98,note located on the page,B
