record_key,date,date_precision,calendar,kind,direction,sender,recipient,place,language,language_detail,period,edition_of_record,tboo_volume,tboo_page_first,tboo_page_last,witness_class,witness_lines,translation_grade,collated,hven_kassel,concerns_press,abstract,tekstnet_url,letter_page
brahe-t_15680114001,1568-01-14,day,os,letter,from,Tycho Brahe,Hans Aalborg,Rostock,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,3,3,mixed,3,A,yes,no,no,"Reports safe arrival in Rostock, plans to winter in the Jurists' College for observations, and urges the recipient to keep the reasons for his departure secret.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15680114001/,letters/brahe-t_15680114001.html
brahe-t_15710518001,1571-05-18,day,os,letter,from,Tycho Brahe,Anders Sørensen Vedel,Helsingborg,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,3,5,copies-only,1,A,yes,no,yes,Acknowledges a letter of consolation on his father's death and reflects on theological and philosophical sources of comfort available to him.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15710518001/,letters/brahe-t_15710518001.html
brahe-t_15711113001,1571-11-13,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin / Greek,early,"Friis, Tychonis Brahei et ad eum doctorum virorum epistolae ab anno 1568 ad annum 1587 (1876–86)",VII,5,7,unmarked-only,1,A,yes,no,yes,"Acknowledges three letters from Tycho, congratulates him on newfound independence after his father's death, and offers cautious advice on a planned threefold journey.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15711113001/,letters/brahe-t_15711113001.html
brahe-t_15720507001,1572-05-07,day,os,letter,to,Johannes Pratensis,Tycho Brahe,Copenhagen,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,6,8,unmarked-only,1,A,yes,no,yes,"Responds with playful alchemical and Neoplatonic imagery to praise the extemporaneous quality of Tycho's writing, comparing its heat to solar and divine inspiration.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15720507001/,letters/brahe-t_15720507001.html
brahe-t_15720517001,1572-05-17,day,os,letter,from,Tycho Brahe,Johannes Pratensis,Herrevad,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,9,10,unmarked-only,2,A,yes,no,yes,"Replies in hendecasyllabic verse cast as prose, expressing delight at Pratensis's letter and lamenting the displacement of true learning by scholastic barbarism.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15720517001/,letters/brahe-t_15720517001.html
brahe-t_15730416001,1573-04-16,day,os,letter,to,Johannes Pratensis,Tycho Brahe,Copenhagen,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,10,13,unmarked-only,2,A,yes,no,yes,"Reports on the gilding of Tycho's celestial globe — the goldsmith cannot lay gold stars on silver, the painter would smother the engraving — and urges an all-gold scheme with matt figures on a burnished ground, costed at four rose nobles; then on the printing of De nova stella, arguing Tycho out of the title-word Lucubrationes.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15730416001/,letters/brahe-t_15730416001.html
brahe-t_15730701001,1573-07-01,day,os,letter,to,Johannes Major,Tycho Brahe,Augsburg,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,13,14,unmarked-only,1,A,yes,no,yes,"Sends a kinsman with greetings and solicits Tycho's opinion on the new star of 1572, noting sharp disagreement among learned men over its nature.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15730701001/,letters/brahe-t_15730701001.html
brahe-t_15740310001,1574-03-10,day,os,letter,to,Paul Hainzel,Tycho Brahe,Augsburg,Latin,Latin / Greek,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,14,15,unmarked-only,1,A,yes,no,yes,"Reports observations of the 1572 Cassiopeia star made with the Augsburg quadrant, finding zero parallax and therefore a supralunary position, despite reluctance to contradict Aristotle.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15740310001/,letters/brahe-t_15740310001.html
brahe-t_15750307001,1575-03-07,day,os,letter,to,Hieronymus Wolf,Tycho Brahe,Augsburg,Latin,Latin / Greek,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,15,18,unmarked-only,1,A,yes,no,yes,"Reports that a carrier's treachery caused Tycho to miss acquiring Ambrosius's library and Schreckenfuchs's armilla, and offers to help procure the latter.",https://tekstnet.dk/books/brahe-t_letters/brahe-t_15750307001/,letters/brahe-t_15750307001.html
brahe-t_15750311001,1575-03-11,day,os,letter,to,Paul Hainzel,Tycho Brahe,Augsburg,Latin,Latin,early,"Dreyer, Tychonis Brahe Dani Opera Omnia (1913–29)",VII,19,21,unmarked-only,2,A,yes,no,yes,Reports that Schreckenfuchs's Ptolemaic armillae have been obtained and will be sent with Regiomontanus's treatise on the instrument's construction and use.,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15750311001/,letters/brahe-t_15750311001.html
