record_key,name,sort_name,name_latin,name_variants,entry_kind,born,died,dates_display,roles,role_groups,era,seat,seat_lat,seat_lon,seat_basis,letters_sent,letters_received,epistolarium_keys,hven_visits,itinerary_stays,objects,viaf,sources
COR_HANS_AALBORG,Hans Aalborg,"Aalborg, Hans",,Hans (Johannes) Aalborg,person,,,,correspondent,Correspondents only,contemporary,,,,,0,2,Hans Aalborg,0,4,0,,S_EPISTOLARIUM
COR_CORT_ASLAKSEN,Cort Aslaksen,"Aslaksen, Cort",,Cort Aslakssen,person,,,,correspondent,Correspondents only,contemporary,,,,,1,1,Cort Aslaksen,0,1,0,,S_EPISTOLARIUM
COR_MARTIN_BACHAZEK,Martin Bachazek,"Bachazek, Martin",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Martin Bachazek,0,0,0,,S_EPISTOLARIUM
COR_LUCAS_BACMEISTER,Lucas Bacmeister,"Bacmeister, Lucas",,,person,,,,correspondent,Correspondents only,contemporary,,,,,2,2,Lucas Bacmeister,0,2,0,,S_EPISTOLARIUM
BARTHOLIN,Erasmus (Rasmus) Bartholin,"Bartholin, Erasmus (Rasmus)",,,person,1625,1698,,editor; owner,"Editors, owners and scholars",afterlife,Copenhagen,55.676,12.568,Copenhagen professor; commissioned 1664 to edit Tycho's observations (never completed),0,0,,0,0,0,,S_DREYER; S_THESAURUS
COR_JOHANN_ANTON_BARWITZ,Johann Anton Barvitius,"Barvitius, Johann Anton",,Johann Barwitz; Johannes Barvitius; Johann Anton Barwitz,person,,,,correspondent,Correspondents only,contemporary,,,,,0,2,Johann Anton Barwitz; Johann Barwitz,0,4,0,,S_EPISTOLARIUM
COR_HENRIK_BELOW,Henrik Below,"Below, Henrik",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Henrik Below,0,0,0,,S_EPISTOLARIUM
BENEDICHT,Lorentz Benedicht,"Benedicht, Lorentz",,,person,,,,printer,The book trade,contemporary,Copenhagen,55.676,12.568,Copenhagen printer,0,0,,0,1,1,,S_NIELSEN1921; S_DBL; S_THESAURUS
COR_GOTTFRIED_VON_BERBISTORF,Gottfried von Berbistorf,"Berbistorf, Gottfried von",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Gottfried von Berbistorf,0,0,0,,S_EPISTOLARIUM
COR_BERKA_ZBYNĚK_ARCHBISHOP_,"Zbyněk Berka z Dubé, Archbishop of Prague","Berka z Dubé, Zbyněk, Archbishop of Prague",,"Berka Zbyněk, archbishop of Prague",person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,"Berka Zbyněk, archbishop of Prague",0,0,0,,S_EPISTOLARIUM
COR_NIELS_BILD,Niels Bild,"Bild, Niels",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Niels Bild,0,0,0,,S_EPISTOLARIUM
COR_BEATE_BILLE,Beate Bille,"Bille, Beate",,,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,1,1,Beate Bille,1,8,0,,S_CHRISTIANSON; S_EPISTOLARIUM
COR_ESKE_BILLE,Eske Bille,"Bille, Eske",,Eske (Esge) Bille,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,3,3,Eske Bille,0,2,0,,S_CHRISTIANSON; S_EPISTOLARIUM
COR_STEEN_BILLE,Steen Bille,"Bille, Steen",,,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,1,0,Steen Bille,0,6,0,,S_CHRISTIANSON; S_DREYER; S_EPISTOLARIUM
BLAEU,Willem Janszoon Blaeu,"Blaeu, Willem Janszoon",Guilielmus Janssonius Blaeu,,person,1571,1638,,assistant,Observers and assistants,contemporary,,,,,0,0,,1,1,0,59248003,S_CHRISTIANSON; S_THOREN
COR_BIRGITTE_BØLLE,Birgitte Bølle,"Bølle, Birgitte",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Birgitte Bølle,0,0,0,,S_EPISTOLARIUM
COR_HUGO_BLOTIUS,Hugo Blotius,"Blotius, Hugo",,,person,,,,correspondent,Correspondents only,contemporary,Vienna,48.208,16.374,"imperial librarian, Vienna",0,2,Hugo Blotius,0,2,0,,S_EPISTOLARIUM
COR_JAQUES_BONGARS,Jacques Bongars,"Bongars, Jacques",,Jaques Bongars,person,,,,correspondent,Correspondents only,contemporary,,,,,3,1,Jaques Bongars,0,0,0,,S_EPISTOLARIUM
COR_JACOB_BORDING,Jacob Bording,"Bording, Jacob",,Jakob Bording,person,,,,correspondent,Correspondents only,contemporary,Güstrow,53.797,12.176,chancellor to Duke Ulrich of Mecklenburg,2,5,Jacob Bording; Jakob Bording,0,1,0,,S_EPISTOLARIUM
COR_AXEL_BRAHE,Axel Brahe,"Brahe, Axel",,,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,1,0,Axel Brahe,1,6,0,,S_CHRISTIANSON; S_EPISTOLARIUM
COR_ERIK_BRAHE,Erik Brahe,"Brahe, Erik",,"Erik Brahe, Count of Visingsborg",person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,1,0,Erik Brahe,0,2,0,,S_CHRISTIANSON; S_EPISTOLARIUM
COR_MAGDALENE_BRAHE,Magdalene Brahe,"Brahe, Magdalene",,Magdalene Tygesdatter,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,1,0,Magdalene Brahe,0,8,0,,S_CHRISTIANSON; S_EPISTOLARIUM
COR_PEDER_BRAHE,Peder Brahe,"Brahe, Peder",,,person,,,,correspondent,Correspondents only,contemporary,,,,,0,1,Peder Brahe,0,0,0,,S_EPISTOLARIUM
COR_SOPHIE_BRAHE,Sophie Brahe,"Brahe, Sophie",Sophia Brahea,,person,1556,1643,1556 or 1559 – 1643,correspondent; family,Correspondents only; Family and friends,contemporary,Hven,55.907,12.696,"Tycho's sister, helped at Uraniborg",1,2,Sophie Brahe,36,7,3,50020436,S_CHRISTIANSON; S_ELLEFSEN; S_DSL_URANIA; S_EPISTOLARIUM
COR_STEEN_BRAHE,Steen Brahe,"Brahe, Steen",,,person,,,,correspondent; family,Correspondents only; Family and friends,contemporary,,,,,0,1,Steen Brahe,0,9,0,,S_CHRISTIANSON; S_EPISTOLARIUM
TYCHO,Tycho Brahe,"Brahe, Tycho",,,person,1546,1601,,author; astronomer,Correspondents only; Scientific peers and rivals,contemporary,Hven,55.907,12.696,"Uraniborg, his island seat",283,203,Tycho Brahe,3,0,16,49235888,S_THESAURUS; S_EPISTOLARIUM
COR_MARTIN_BRASCH,Martin Brasch,"Brasch, Martin",,,person,,,,correspondent,Correspondents only,contemporary,,,,,2,4,Martin Brasch,0,0,1,,S_EPISTOLARIUM
COR_NICOLAUS_BRASCHIUS,Nicolaus Braschius,"Braschius, Nicolaus",,,person,,,,correspondent,Correspondents only,contemporary,,,,,1,0,Nicolaus Braschius,0,0,0,,S_EPISTOLARIUM
