record_key,date,date_basis,document,kind,subject,subject_familia,status,witnesses,hand,edition,scripta_key,online,grade,shelfmarks,sources
HORO_FREDERIK2_DRAFT,undated,undated,Draft nativity of Frederik II,nativity,"Frederik II, King of Denmark",COR_FREDERIK_2,extant,1,not examined,unedited,,yes,B,Cod. Vindob. lat. 10686/17,ÖNB catalogue; Opera Omnia X
HORO_C4,1 July 1577,dated_in_text,"Nativity of Prince Christian, the later Christian IV (1577)",nativity,"Christian IV, King of Denmark",CHR4,extant,9,"his own draft, scribal","Opera Omnia I, pp. 181–208",brahe-t_horoscopus-principis-christiani,no,A,GKS 1821 kvart; GKS 1820 kvart; NKS 620 c folio; Thott 831 folio; Thott 1611 kvart; NKS 296 kvart; Langebeks Excerpter 178–179; Ledreborg 108 kvart; Cod. Vindob. lat. 10688/8; the copy delivered to Frederik II,Opera Omnia I; Dreyer 1890; KB catalogue; ÖNB catalogue; Oestmann 2002; tekstnet.dk
HORO_ULRIK,May 1579,dedication,Nativity of Prince Ulrik (1579),nativity,"Ulrik, Prince of Denmark",ULRIK,extant,1,wholly in his hand,"Opera Omnia I, pp. 211–250",brahe-t_horoscopus-principis-huldarici,no,A,GKS 1822 kvart,Opera Omnia I; Dreyer 1890; KB catalogue; Gigas 1900; The Hand (Graphonomicon); tekstnet.dk
HORO_HANS,1583,dated_in_text,Nativity of Prince Hans (1583),nativity,"Hans, Prince of Denmark (1583–1602)",HANS,extant,1,partly in his hand,"Opera Omnia I, pp. 251–280",brahe-t_horoscopus-principis-johannis,yes,A,GKS 1823 kvart,Opera Omnia I; Dreyer 1890; KB catalogue; Gigas 1900; The Hand (Graphonomicon); tekstnet.dk
HORO_ONB_29,undated,undated,Judgment of an unnamed nativity,nativity,unidentified,,extant,1,his own draft,unedited,,yes,A,Cod. Vindob. lat. 10689/29,ÖNB catalogue; The Hand (Graphonomicon); Opera Omnia X
HORO_RESPONSIO_CAESAR,1600,catalogue,Reply to an astrological question of the Emperor,question,"Rudolf II, Holy Roman Emperor",RUDOLF2,extant,1,not examined,unedited,,yes,B,Cod. Vindob. lat. 10689/50,ÖNB catalogue
HORO_COMETA_1577_DE,1577–1578,bracket,"The German tract on the comet of 1577, with its astrological signification",comet_judgment,the comet of 1577,,extant,2,"his own draft, scribal","Opera Omnia IV, pp. 381–396",,no,A,Cod. Vindob. lat. 10689/32; Cod. Vindob. lat. 10689/33,Opera Omnia IV; ÖNB catalogue
HORO_DIARIUM_1573,December 1572,dedication,The astrological and meteorological diary for 1573,weather_astrology,the weather of the year 1573,,extant,1,scribal,"Opera Omnia I, pp. 75–130",brahe-t_diarium-anni-1573,no,A,Cod. Vindob. lat. 10932,Opera Omnia I; ÖNB catalogue; KB catalogue; tekstnet.dk
HORO_ASTROLOGIA_METEOROLOGICA,undated,undated,Fragment of a treatise on weather astrology,weather_astrology,weather astrology in general,,extant,1,wholly in his hand,"Opera Omnia I, pp. 177–178",brahe-t_astrologiae-meteorologicae-fragmentum,yes,A,Cod. Vindob. lat. 10689/40,Opera Omnia I; ÖNB catalogue; tekstnet.dk
HORO_RUDOLF_STAR_APPENDIX,March 1600,dedication,The appendix to the star catalogue keyed to Rudolf II's nativity (1600),star_apparatus,"Rudolf II, Holy Roman Emperor",RUDOLF2,extant,1,dedication only,"Opera Omnia III, pp. 379–389",,no,A,Cod. Vindob. lat. 10707,Opera Omnia III; ÖNB catalogue
HORO_LOST_PEUCER,c. 1564,attested,"The Leipzig book of nativities, with Caspar Peucer's geniture — lost",nativity,Caspar Peucer,COR_CASPAR_PEUCER,attested,0,—,—,,no,B,,Opera Omnia VII; Dreyer 1890
HORO_LOST_SELF,before 1601,attested,Tycho's nativity of himself — lost,nativity,Tycho Brahe,TYCHO,attested,0,—,—,,no,B,,Christianson 1970; Zeeberg 1994
HORO_LOST_ALMANACS,1570s–1587,attested,The annual almanacs for Frederik II — lost,weather_astrology,"the weather of each year, for the king",,attested,0,—,—,,no,B,,Opera Omnia I; Dreyer 1890; Oestmann 2002
