no,record_key,instrument,type,measurement_problem,built,year_start,in_use_until,status,destruction_year,relation_to_tycho,grade,grade_scope,where,site,radius_cm,reads_to_arcsec,reading_resolution_as_stated,material,dimensions,mechanica_figure,mechanica_caption,opera_omnia_v_page,wennberg_2007_page,blaeu_1664_pages,thoren_1990_table,maker,inscription,institution,fate
1,inst-smallest-quadrant,Quadrans minor — the smallest (gilt-brass) quadrant,Quadrant,Altitude,1573,1573,1601,destroyed,,Tycho's own design,B,,The railed premises,site-stjerneborg,39,,fitted with the Nonius (Nunes) auxiliary-arc scale,gilt brass,"radius one cubit — Tycho's own figure, ≈39 cm (Mechanica 1946, Fig. 1, p. 13)",1,Quadrans minor orichalcicus inauratus,12,48,,First quadrant (1573),,,,
2,inst-medium-quadrant,Quadrans mediocris azimuthalis — the medium brass quadrant,Quadrant,Altitude,1580,1580,1601,destroyed,,Tycho's own design,B,,The great southern observatory,site-uraniborg,58,,carried both the Nonius and Tycho's transversal scale,"solid brass, with an azimuth circle","radius one and a half cubits — Tycho's own figure, ≈58 cm (Mechanica 1946, Fig. 2, p. 17)",2,Quadrans mediocris orichalcicus azimuthalis,16,49,,Q. min. (1577),,,,
3,inst-brass-azimuthal-quadrant,Brass azimuthal quadrant,Quadrant,Altitude,1576,1576,1601,destroyed,1619,Tycho's own design,B,,The great southern observatory,site-uraniborg,58,60.0,read to ≈1′ (neither Nonius nor transversal on this one),"light brass, with an azimuth circle Ø117 cm","radius one and a half cubits — Tycho's own figure, ≈58 cm (Mechanica 1946, Fig. 3, p. 21)",3,Quadrans alius orichalcicus azimuthalis,20,50,,Portable quadrant (1583),,,,destroyed in the aftermath of the Bohemian war of 1619
4,inst-astronomical-sextant,Astronomical sextant with parallel-slit sights,Sextant,Angular distance,"1584 at Hven (the design first devised at Augsburg, c. 1569)",1584,1601,destroyed,1619,Tycho's own design,B,,East crypt G,site-stjerneborg,155,30.0,"transversal scale, to ≈½′","wood clad in brass; brass limb, alidade and sights","radius four cubits — Tycho's own figure, ≈155 cm (Mechanica 1946, Fig. 4, p. 25)",4,"Sextans astronomicus, prout altitudinibus inservit",24,51,pp. 186–189,Astronomical sextant (1584),,,,destroyed in the aftermath of the Bohemian war of 1619
5,inst-mural-quadrant,Quadrans muralis sive Tichonicus — the great mural quadrant,Quadrant,Altitude,1582 (planned from 1576),1582,1601,destroyed,1619,Tycho's own design,A,,The mural-quadrant room,site-uraniborg,194,10.0,transversal scale read to ⅙′ (≈10″),brass arc on a meridian wall,"radius nearly five cubits — Tycho's own figure, ≈194 cm (Mechanica 1946, Fig. 5, p. 29, in the editors' conversion); Wolfschmidt 2002 gives 194 cm; Thoren's 'two metres' is a rounding.",5,Quadrans muralis sive Tichonicus,28,52,pp. 201–204,Mural quadrant (1582),,,,the Hven instruments destroyed in the aftermath of the Bohemian war of 1619
6,inst-revolving-quadrant,Revolving quadrant (quadrans azimuthalis volubilis),Quadrant,Altitude,1585–86,1586,1601,destroyed,1619,Tycho's own design,B,,North-east crypt D,site-stjerneborg,155,15.0,minute divided in four → read to 15″,,"radius four cubits — Tycho's own figure, ≈155 cm (Mechanica 1946, Fig. 6, p. 33); Wolfschmidt 2002 gives 155 cm; Thoren's 'one-and-a-half-metre' (150 cm) is a rounding.",6,Quadrans volubilis azimuthalis,32,53,pp. 220–224,Revolving quadrant (1586),,,,destroyed in the aftermath of the Bohemian war of 1619
7,inst-revolving-steel-quadrant,Revolving steel quadrant,Quadrant,Altitude,1588,1588,1601,destroyed,1619,Tycho's own design,B,,South-west crypt F,site-stjerneborg,194,10.0,transversal scale read to ⅙′ (≈10″),a circle-quadrant braced inside a rigid steel square,"radius nearly five cubits — Tycho's own figure, ≈194 cm (Mechanica 1946, Fig. 7, p. 37), with a surrounding solid-steel square and a nine-cubit (≈350 cm) steel azimuth horizon. Wolfschmidt 2002 gives 194 cm; Thoren's 175 cm is an estimate.",7,"Quadrans magnus chalybeus, in quadrato etiam chalibeo comprehensus, unaque azimuthalis",36,54,pp. 218–220,"Q. maj. (1581), Q. max. (1582) and Steel quadrant (1588) (1588)",,,,destroyed in the aftermath of the Bohemian war of 1619
8,inst-semicircle,Azimuth semicircle (the doubled-scale half-circle),Arc,Altitude,1588,1588,1601,destroyed,1619,Tycho's own design,B,,The great southern observatory,site-uraniborg,116,,altitude + azimuth; doubled (inscribed-angle) scale,iron faced with brass,"diameter six cubits — Tycho's own figure, ≈233 cm (radius ≈116 cm), on a four-cubit (≈155 cm) azimuth horizon (Mechanica 1946, Fig. 8, p. 41)",8,Semicirculus magnus azimuthalis,40,55,,Azimuth semicircle (1588),,,,destroyed in the aftermath of the Bohemian war of 1619
9,inst-triquetrum,Parallactic instrument (triquetrum / regulae),Parallactic rule,Zenith distance,1585 (Thoren's 'small rulers'),1585,1601,destroyed,1619,Tycho's own design,B,,The great northern observatory,site-uraniborg,,,zenith distance on a sine scale,brass,"three equal rulers, each four cubits — Tycho's own figure, ≈155 cm (Mechanica 1946, Fig. 9, p. 45).",9,Instrumentum parallaticum sive regularum,44,56,pp. 193–196,Small rulers (1585),,,,destroyed in the aftermath of the Bohemian war of 1619
10,inst-parallactic-azimuth,Parallactic instrument with an azimuth circle,Parallactic rule,Zenith distance,1583,1583,1601,destroyed,,Tycho's own design,B,,The great southern observatory,site-uraniborg,,,,brass,"fundamental ruler 8½ cubits ≈330 cm; azimuth circle 12 cubits in diameter ≈466 cm — Tycho's own figures (Mechanica 1946, Fig. 10, p. 49).",10,"Parallaticum aliud, sive regulae tam altitudines quam azimutha expedientes",48,57,,Large rulers (1583),,,,
11,inst-zodiacal-armillary,Zodiacal (ecliptic) armillary sphere,Armillary,The ecliptic frame,ca. 1583–85,1584,1601,destroyed,1619,Tycho's own design,B,,North-west crypt E,site-stjerneborg,,60.0,transversal reading; latitude/longitude to under 1′,,"four armillae; steel meridian ring three cubits in diameter — Tycho's own figure, ≈117 cm (Mechanica 1946, Fig. 11, p. 53)",11,Armillae zodiacales,52,58,,Zodiacal armillary (1581),,,,destroyed in the aftermath of the Bohemian war of 1619
12,inst-north-equatorial-armillary,Northern equatorial armillary sphere,Armillary,Celestial coordinates,1584,1584,1601,destroyed,,Tycho's own design,B,,The smaller northern observatory,site-uraniborg,,,,steel,"meridian ring about four cubits in diameter — Tycho's own figure, ≈155 cm; three steel rings (Mechanica 1946, Fig. 12, p. 57)",12,Armillae aequatoriae,56,59,,Equatorial armillaries (2) (1584),,,,
13,inst-south-equatorial-armillary,Southern equatorial armillary sphere,Armillary,Celestial coordinates,1584,1584,1601,destroyed,,Tycho's own design,B,,The smaller southern observatory,site-uraniborg,,,two-observer reading of declination + RA-difference,"brass, with a steel meridian ring","of the same size as the northern equatorial armillary (≈155 cm), but with a movable equator and three inner armillae — Tycho's own account (Mechanica 1946, Fig. 13, p. 61)",13,Armillae aliae aequatoriae,60,60,,Equatorial armillaries (2) (1584),,,,
14,inst-great-equatorial-armillary,Great equatorial armillary sphere,Armillary,Celestial coordinates,1585,1585,1601,destroyed,1619,Tycho's own design,A,,South crypt C (the largest),site-stjerneborg,136,15.0,≈¼′ — one of his most accurate instruments,,"one complete revolving armilla seven cubits in diameter — Tycho's own figure, ≈272 cm (radius ≈136 cm); a fixed nine-cubit (≈350 cm) semicircular armilla (Mechanica 1946, Fig. 14, p. 65)",14,Armillae aequatoriae maximae,64,61,pp. 209–213,Large armillary (1585),,,,destroyed in the aftermath of the Bohemian war of 1619
15,inst-bipartite-arc,Arcus bipartitus — the bipartite arc (1583),Arc,Angular distance,1583,1583,1601,lost,,Tycho's own design,B,,The great northern observatory,site-uraniborg,,30.0,"for very small angles, to ≈½′",,"alidade four cubits long — Tycho's own figure, ≈155 cm (Mechanica 1946, Fig. 15, p. 69); measures up to one-twelfth of the circle (one zodiac sign)",15,Arcus bipartitus,68,62,,Bipartite arc (1583),,,,
16,inst-triangular-sextant,Triangular sextant (sextans trigonicus),Sextant,Angular distance,1582,1582,1601,destroyed,1619,Tycho's own design,B,,Uraniborg,site-uraniborg,,30.0,"transversal scale, to ≈½′",,"sides four cubits from the centre — Tycho's own figure, ≈155 cm; on a spherical base a little over two feet (≈52 cm) across (Mechanica 1946, Fig. 16, p. 73)",16,Sextans astronomicus trigonicus pro distantiis rimandis,72,63,pp. 215–217,Triangular sextant (1582),,,,destroyed in the aftermath of the Bohemian war of 1619
17,inst-steel-sextant-1obs,Steel sextant for a single observer,Sextant,Angular distance,1574,1574,1601,destroyed,,Tycho's own design,B,,The great northern observatory,site-uraniborg,,,,steel,"alidades about three cubits — Tycho's own figure, ≈117 cm; arc of equal length (Mechanica 1946, Fig. 17, p. 77)",17,Sextans chalybeus pro distantiis per unicum observatorem dimetiendis,76,64,,Steel sextant (1576),,,,
18,inst-halfsextant-smallangles,Half-sextant for small angles,Arc,Angular distance,"1572 (the plate is so dated, and Tycho says he had it made when the new star appeared)",1572,1601,destroyed,,Tycho's own design,C,,The great northern observatory,site-uraniborg,,,,,"alidades four cubits long — Tycho's own figure, ≈155 cm, three inches wide, two inches thick; divided arc one-twelfth of the circle (Mechanica 1946, Fig. 18, p. 81)",18,"Aliud instrumentum simile priori, pro distantiis",80,65,,First sextant (1572),,,,
19,inst-herrevad-sextant,Sextant of Herrevadskloster — the new-star sextant,Sextant,Angular distance,1572,1572,1574,lost,,Tycho's own design,B,,"Herrevadskloster, Skåne (his uncle Steen Bille's house)",pre-hven,,60.0,"arc divided to single degrees and minutes (1° ≈ 24 mm, 1′ ≈ ½ mm)",walnut clad in copper; copper arc and central sight,"two 155 cm legs, hinged",19,"Instrumenti eiusdem ut altitudinibus capiendis inserviat dispositio — the hinged sextant arranged for taking altitudes, the configuration in which Tycho measured the new star of 1572 standing near the zenith",84,66,,First sextant (1572),,,,
