no,record_key,dreyer_codex,shelfmark,institution,label,genre,originality,years,year_start,year_end,leaves_dreyer,leaves_catalogue,hand_grade,hand_primary,hand_candidates,copied_from,record_grade,status,facsimile,catalogue_record,catalogue_title,opera_omnia,dreyer_page,questions
1,O_GKS1824,A,GKS 1824 kvart,"Copenhagen, Royal Danish Library",Earliest observations 1563–1582,transcript,contemporary copy,1563-1582,1563,1582,"468 pages, numbered in a later hand (70½ quires)",,,,,"[lost], GKS 1825 kvart",A,extant,https://digitalesamlinger.kb.dk/manus/vmanus/2011/dec/ha/object77724/en/,https://digitalesamlinger.kb.dk/manus/vmanus/2011/dec/ha/object77724/en/,"Tychonis Brahei Observationes, Lipsiæ ab anno 1563-1565, Rostochii 1568, Aug. Vind. 1569-1573, Herisvadi, Hafniæ et in insula Hvenæ 1574-1582, præmissis Excerptis ex observationibus G. Frisii et Regiomontani.",X pp. 1–54 (base text); X pp. 55–129 (supplement),XII,
2,O_GKS1825,B,GKS 1825 kvart,"Copenhagen, Royal Danish Library",Observations December 1577 – 1581 (portrait & arms binding),original protocol,original,1577-1581,1577,1581,"206 leaves including two endpapers, 19 blank; four loose leaves inserted",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122875896605763,"Tychonis Brahei Observationes Astronomicæ a Solstitio Hiberno anni 1577 ad 1581, maxima ex parte Autogr.",X pp. 55–129 (base text),XIII,Q_DIGITISATION
3,O_GKS311,C,GKS 311 folio,"Copenhagen, Royal Danish Library",Observations 1582–1586,original protocol,original,1582-1586,1582,1586,494 leaves in folio + 10 leaves in quarto (Elias Olai's German observations of 1584),,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748878505763,"Tychonis Brahei Volumen [I] observationes annorum 1582 usque ad 86 inclus., ex parte autographum.",X pp. 130–348 (base text); X pp. 349–427 (base text); XI pp. 1–128 (base text); XIII pp. 287–393 (base text),XIV,Q_1585_CODEXL; Q_APOGRAPHA_COLLATE; Q_BARTHOLIN_SPECIMEN_COLLATE; Q_DIGITISATION; Q_SPOTCOLLATE; Q_VIENNA_APOGRAPHA
4,O_GKS312,D,GKS 312 folio,"Copenhagen, Royal Danish Library",Observations 1587–1589 + fixed stars 1590–1594,original protocol,original,1587-1594,1587,1594,352 leaves,,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748883005763,"Tychonis Brahei Volumen [II] observationum pro annis 1587-1590 incl., ex parte autogr.",XI pp. 129–382 (base text); XII pp. 1–230 (base text); XII pp. 311–362 (base text),XVI,
5,O_GKS313,E,GKS 313 folio,"Copenhagen, Royal Danish Library","Observations 1590–1594 (Sun, Moon, planets)",original protocol,original,1590-1594,1590,1594,367 numbered leaves + 5 unnumbered (the KB catalogue agrees: ff. 1–183 + 184–367 + 5),372 leaves,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122360933105763,Tychonis Brahei Volumen [III] observationum pro annis 1590-94 incl.,XII pp. 1–230 (base text); XII pp. 266–310 (base text); XII pp. 311–362 (base text),XVII,Q_1593
6,O_GKS314,F,GKS 314 folio,"Copenhagen, Royal Danish Library",Planetary observations 1595,original protocol,original,1595,1595,1595,182 numbered leaves + 9 unnumbered smaller leaves inserted,,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748922305763,Tychonis Brahei Observationes planetarum super annum 1595.,XII pp. 363–486 (base text),XVII,
7,O_GKS316,G,GKS 316 folio,"Copenhagen, Royal Danish Library",Observations 1596–97 (Wandsbek); Kepler's declaration,original protocol,original,1596-1597,1596,1597,186 leaves + a fascicle of 23 leaves of miscellaneous calculations,,,,,,A,extant,https://digitalesamlinger.kb.dk/manus/vmanus/2011/dec/ha/object856355/en/,https://digitalesamlinger.kb.dk/manus/vmanus/2011/dec/ha/object856355/en/,"Tychonis Brahei planetarum et fixarum Anni Christiani 1596, Wandesburgi a 20. Octob. 1597. Adjectæ sunt in fine Observationes Davidis Fabricii, necnon Catalogus stellarum Zodiacalium et plurium fixarum ad annum 1588 completus.",XI pp. 383–412 (base text); XIII pp. 1–60 (base text); XIII pp. 78–115 (base text),XVII,
8,O_GKS317,H,GKS 317 folio,"Copenhagen, Royal Danish Library",Wittenberg & Benátky observations 1598–1600,original protocol,original,1598-1600,1598,1600,"two bundles, 108 (109 with the folded board) + 72 leaves",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876063605763,Observationes astronomicæ factæ Wittenbergæ a Solstitio hyberno præcedente annum 1599 et variæ aliæ in arce Benatica factæ.,XIII pp. 116–192 (base text); XIII pp. 193–285 (base text),XVIII,
9,O_GKS318,I,GKS 318 folio,"Copenhagen, Royal Danish Library",Observations 1600–1601 (Benátky & Prague),original protocol,original,1600-1601,1600,1601,"173 numbered leaves, 5 blank",,,,,,A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122749061405763,"Observationes Astronomicæ annorum 1600 et 1601 in arce Cæsarea Regni Bohemici Benatica et Pragæ habitæ per instrumenta Tychonis Brahei. Accedunt Observationes, quas Tychoni misit Keplerus e Stiria initio Augusti anno 1600.",XIII pp. 193–285 (base text),XIX,
10,O_GKS1828,K,GKS 1828 kvart,"Copenhagen, Royal Danish Library","Transcripts of 1593, 1590 and 1598–1600",transcript,contemporary copy,1590-1600,1590,1600,"478 leaves, all in the same hand except ff. 464–478; three fascicles (ff. 1–66 the year 1593; 67–260 the year 1590; 261–478 the years 1598–1600)",,C,,Christen Longomontanus,"GKS 313 folio, Cod. 10665",A,extant,,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748917105763,"Fasciculus Observationum Tychonis Brahei, alia manu [quam forte Longomontani], variorum annorum, ex quibus 1590, 1599 et 1600 expressi sunt. Addita sunt Excerpta ex quodam libro Msc. ex collegio Pragensi a M. Bacchatio Tychoni Braheo communicata.",XII pp. 1–230 (supplement); XII pp. 266–310 (base text); XIII pp. 116–192 (supplement),XX,Q_1593; Q_1593_LOSS
