specimen_key,date,specimen,type,registers,life_stage,autograph_class,verdict,grade,status,holding,city,shelfmark,catalogue_record,surrogates,census_copy
vienna-onb-cod-10689-29,1500-1599,"Vienna, ÖNB, Cod. 10689/29 — 'Iudicium astrologicum huius geniturae', autograph nativity-judgment draft",manuscript,administrative document,,wholly autograph,secure,A,extant,Österreichische Nationalbibliothek,Vienna,Cod. 10689/29 HAN MAG,https://data.onb.ac.at/rec/AC13961751,https://viewer.onb.ac.at/117C4709; https://api.onb.ac.at/iiif/presentation/v3/manifest/117C4709; https://api.onb.ac.at/iiif/presentation/v3/manifest/117C4709,
vienna-onb-cod-10689-48,1500-1599,"Vienna, ÖNB, Cod. 10689/48 — 'Observationes et calculi pro Martis latitudine'; autograph-plausible working computations",manuscript,observation log,,partly autograph,possible,C,extant,Österreichische Nationalbibliothek,Vienna,Cod. 10689/48 HAN MAG,https://data.onb.ac.at/rec/AC13961769,https://viewer.onb.ac.at/117C36AE; https://api.onb.ac.at/iiif/presentation/v3/manifest/117C36AE; https://api.onb.ac.at/iiif/presentation/v3/manifest/117C36AE,
kb-gks-1825,1577-1582,"Copenhagen, KB, GKS 1825 kvart — Observations 1577-1582 (portrait & arms binding), mostly autograph",observation log,observation log,Hven / Uraniborg maturity,partly autograph,probable,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 1825 kvart,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122875896605763,,
kb-gks-1826,1577-1596,"Copenhagen, KB, GKS 1826 kvart — Seven comets 1577-1596, mostly autograph",observation log,observation log,Hven / Uraniborg maturity,partly autograph,probable,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 1826 kvart,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876047805763,,
kb-gks-1822,1579,"Copenhagen, KB, GKS 1822 kvart — Horoscope of Prince Ulrik (1579), wholly in Tycho's hand",manuscript,administrative document,Hven / Uraniborg maturity,wholly autograph,secure,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 1822 kvart,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122192378105763,,
kb-nks-4898,1580-04-13,"Copenhagen, KB, NKS 4898 kvart — Tycho's autograph receipt",administrative document,administrative document,Hven / Uraniborg maturity,wholly autograph,secure,A,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,NKS 4898 kvart,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122015915005763,,
prague-nk-vi-e-9-tabulae-sinuum-inscriptions,1582,"Prague NK, VI E 9 — Tabulae Sinuum (1582): the 'Numerorum scientia' + Greek end-/first-page inscriptions (autograph status disputed)",marginalia in a printed book,marginalia,Hven / Uraniborg maturity,autograph status disputed,possible,D,disputed,National Library of the Czech Republic,Prague,"VI E 9 (Tres. M 1, Cim. D 82)",https://www.manuscriptorium.com/apps/index.php?direct=record&pid=AIPDIG-NKCR__VI_E_9______0TMAVX3-cs,; https://collectiones.manuscriptorium.com/assorted/AIPDIG/NKCR__/3/AIPDIG-NKCR__VI_E_9______0TMAVX3-cs/,
kb-gks-311,1582-1586,"Copenhagen, KB, GKS 311 folio — Observations 1582-1586 (vol. I), partly autograph",observation log,observation log,Hven / Uraniborg maturity,partly autograph,possible,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 311 folio,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748878505763,,
lynge-detached-signature,1582-1597,Detached signature 'd:Dt: Tÿcho Brahe' (private collection) — ILAB Missing Books 2015,signature only,formal presentation,Hven / Uraniborg maturity,autograph signature only,probable,B,lost,private collection,,,,,
kb-gks-1823,1583,"Copenhagen, KB, GKS 1823 kvart — Horoscope of Duke Hans (1583), partly autograph",manuscript,administrative document,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 1823 kvart,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122876056805763,https://permalink.kb.dk/permalink/2006/manus/754/dan/,
copenhagen-kb-meier-dedication,1586,"Autograph presentation dedication to Albert Meier (Diarium 1586, KB copy)",presentation inscription,dedication inscription,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,see census copy,,,,,brahe-diarium-astrologicum-1586/copenhagen-kb-meier-dedication
kb-diarium-astrologicum-1586,1586,"Copenhagen, KB, LN 1170 4° (copy 2) — Diarium astrologicum (1586), Tycho's autograph dedication to Albert Meier",presentation inscription,dedication inscription,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,LN 1170 4°,https://soeg.kb.dk/permalink/45KBDK_KGL/k16kb6/alma99122912472905763,https://iiif.archive.org/iiif/den-kbd-pil-130018150582-001/manifest.json,brahe-diarium-astrologicum-1586/copenhagen-kb-meier-dedication
letter-birgitte-bolle-1586,1586-01-30,"Letter to Birgitte Bølle, Uraniborg, 30 Jan 1586 — surviving original (Copenhagen, KB, Bøllings brevsamling D. Fol. 68)",autograph letter,correspondence,Hven / Uraniborg maturity,autograph signature only,probable,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,Bøllings brevsamling D. Fol. 68,https://tekstnet.dk/books/brahe-t_letters/brahe-t_15860130001/,,
letter-wilhelm-hessen-1586-03-01,1586-03-01,"Letter to Landgrave Wilhelm IV of Hesse-Kassel, Uraniborg, 1 March 1586 — autograph original (Marburg)",autograph letter,correspondence,Hven / Uraniborg maturity,partly autograph,probable,B,extant,Hessisches Staatsarchiv Marburg,Marburg,"Best. 3 II, Nr. 1070 (former 4a.31.14)",https://arcinsys.hessen.de/arcinsys/showArchivalDescriptionDetails?archivalDescriptionId=10465709,,
kb-gks-312,1587-1590,"Copenhagen, KB, GKS 312 folio — Observations 1587-1590, partly autograph",observation log,observation log,Hven / Uraniborg maturity,partly autograph,possible,B,extant,Det Kgl. Bibliotek (Royal Danish Library),Copenhagen,GKS 312 folio,https://soeg.kb.dk/permalink/45KBDK_KGL/1o797oc/alma99122748883005763,,
rothmann-dedication-1588,1588-05,"De mundi aetherei (1588) dedication leaf to Christoph Rothmann, May 1588 — earliest full-prose autograph dedication",presentation inscription,"formal presentation, dedication inscription",Hven / Uraniborg maturity,wholly autograph,probable,B,extant,private collection,,,,,
dudith-dedication-1588,1588-05-01,"De mundi aetherei (1588) dedication to Andreas Dudith, 1 May 1588 — earliest known dated Tycho presentation",presentation inscription,"formal presentation, dedication inscription",Hven / Uraniborg maturity,partly autograph,probable,C,extant,Owen Gingerich collection,,,,,
