row_key,volume,printed_page,year,body,kind,set_from,summary,archive_org
p-X-19,X,19,1569,,observation,GKS 1824 kvart,observations of year 1569,https://archive.org/details/operaomniaedidit10brahuoft/page/n61
p-X-56,X,56,1578,,observation,GKS 1825 kvart,"observations of year 1578, cont.",https://archive.org/details/operaomniaedidit10brahuoft/page/n98
p-X-57,X,57,1578,Sun,observation,GKS 1825 kvart,"solar diameter / altitude reductions, 1578",https://archive.org/details/operaomniaedidit10brahuoft/page/n99
p-X-64,X,64,1578,,observation,GKS 1825 kvart,"observations of year 1578, cont.",https://archive.org/details/operaomniaedidit10brahuoft/page/n106
p-X-74,X,74,1579,,observation,GKS 1825 kvart,observations of year 1579,https://archive.org/details/operaomniaedidit10brahuoft/page/n116
p-X-80,X,80,1580,,observation,GKS 1825 kvart,observations of year 1580,https://archive.org/details/operaomniaedidit10brahuoft/page/n122
p-X-92,X,92,1581,,observation,GKS 1825 kvart,observations of year 1581,https://archive.org/details/operaomniaedidit10brahuoft/page/n134
p-X-93,X,93,1581,,observation,GKS 1825 kvart,"observations of year 1581, cont.",https://archive.org/details/operaomniaedidit10brahuoft/page/n135
p-X-110,X,110,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n152
p-X-111,X,111,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n153
p-X-112,X,112,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n154
p-X-113,X,113,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n155
p-X-114,X,114,1581,,observation,GKS 1825 kvart,"observations of year 1581, two-clock star log",https://archive.org/details/operaomniaedidit10brahuoft/page/n156
