record_key,begins,ends,ongoing,episode,thread,grade,status,period,date_as_stated,descends_from,sources,links
recep-nova-remnant,1572,,yes,SN 1572 — Tycho's Supernova and its remnant,Sky,B,extant,lifetime,1572 / today,De nova stella (1573),"Ruiz-Lapuente, 'Tycho Brahe's supernova: light from centuries past', Astrophysical Journal 612 (2004) 357–363; Krause et al., 'Tycho Brahe's 1572 supernova as a standard type Ia as revealed by its light-echo spectrum', Nature 456 (2008)",https://simbad.cds.unistra.fr/simbad/sim-id?Ident=SN+1572; ../typographica/index.html#ln429
recep-busch-reravius-1572,1572,1573,no,The 1572 new star in contemporary eyes — Busch & Reravius (1572–73),Science,A,,lifetime,1572–1573,De nova stella (1573),"Fink-Jensen, 'Tycho Brahes supernova i 1572 set med samtidens øjne' (Fund og Forskning 49, 2010)",../typographica/index.html#ln429
recep-apocalyptic-nova,1572,1592,no,The apocalyptic sky — the 1572 nova and 1577 comet read as signs,Sky,B,,lifetime,1572–1592,Progymnasmata,"Håkansson (ed.), Att låta själen flyga mellan himlens tinnar (2006); Dreyer (ed.), Tychonis Brahe Opera Omnia (1913–1929); Zeeberg, Den praktiske muse (Museum Tusculanum, 1993)",../typographica/index.html#ln433
recep-aeredigte-reception,1573,1602,no,Tycho in contemporary verse — æredigte and support-poems (1573–1602),Biography,A,,lifetime,1573–1602,,"Zeeberg, Den praktiske muse (Museum Tusculanum, 1993)",../scripta/texts/brahe-t_de-nova-stella.html; ../typographica/index.html#ln433
recep-uraniborg-endowment,1588,1597,no,The endowment that failed — Uraniborg's promised perpetuity (1588) against the instruments' decay (1597),Legacy,B,,lifetime,1588–1597,,"Kancelliets Brevbøger (the royal chancery registers, ed. Laursen)",https://slaegtsbibliotek.dk/samlinger/kancelli; ../loca/index.html#site-uraniborg
recep-blaeu-globes,1596,1600,no,"Willem Blaeu, Tycho’s pupil, maps Hven’s stars onto the celestial globe (1596–1600)",Sky,A,,lifetime,1596–1600,The star catalogue,"Christianson, On Tycho's Island (2000); Thoren, The Lord of Uraniborg (1990)",../observationes/index.html; ../familia/index.html#BLAEU
recep-stygge-1598,1598,1598,no,A contemporary Danish verdict — Tycho's pomp at Wandsbek (1598),Biography,B,,lifetime,1598,,"Bricka (ed.), 'En dansk Adelsmands Udtalelser om Tyge Brahe' (Danske Magazin 5. R. I)",../epistolarium/letters/brahe-t_15980710001.html; https://tekstnet.dk/books/brahe-t_letters/brahe-t_15980710001/
recep-kepler-data,1601,1601,no,Kepler inherits the observations (1601),Data,A,,posthumous,1601,The observation logs,"Christianson, On Tycho's Island (2000); Gingerich, 'Johannes Kepler and the Rudolphine Tables' (1971)",../observationes/index.html#s-register; ../familia/index.html#KEPLER
recep-tychonic-system,1601,1700,no,The afterlife of the Tychonic world-system,Science,B,,posthumous,17th c.,,"Christianson, On Tycho's Island (2000); Biographical Encyclopedia of Astronomers (Springer, 2007), s.v. Severin/Longomontanus; Riccioli, Almagestum novum (Bologna 1651)",../familia/index.html#LONGO
recep-naked-eye-tradition,1601,1690,no,The naked-eye precision tradition — Hevelius and Verbiest,Science,B,,posthumous,17th c.,Mechanica (1598),"Wolfschmidt, 'Observatories and Instruments of Tycho Brahe' (Crossroads 2002); Biographical Encyclopedia of Astronomers (Springer, 2007), s.v. Severin/Longomontanus",../typographica/index.html#ln432; ../instrumenta/index.html
recep-grave-prague,1601,,yes,"The grave in the Týn Church, Prague",Legacy,B,extant,posthumous,1601,,"The 2010 exhumation project (Aarhus University with the National Museum, Prague)",../loca/index.html#site-tyn-church; https://muzeum3000.nm.cz/national-museum-news/research-of-the-tomb-and-remains-of-tycho-brahe
recep-heirs-unpaid-claim,1601,1630,no,"The unpaid 20,000 daler — the heirs' thirty-year claim on the imperial treasury (1601–1630)",Legacy,B,,posthumous,1601–1630,,"Friis, Tyge Brahe (Kjøbenhavn, 1871), Slutning",../loca/index.html#place-prague; ../familia/index.html#COR_FRANS_TENGNAGEL
recep-astronomia-nova,1609,1609,no,Astronomia Nova (1609) — the elliptical orbit of Mars,Science,A,,posthumous,1609,The observation logs,"Gingerich, 'Johannes Kepler and the Rudolphine Tables' (1971)",https://archive.org/details/den-kbd-pil-20008609-001
recep-longomontanus-danica,1622,1622,no,"Longomontanus, Astronomia Danica (1622) — the Tychonic textbook",Science,A,,posthumous,1622,The star catalogue,"Biographical Encyclopedia of Astronomers (Springer, 2007), s.v. Severin/Longomontanus",https://www.e-rara.ch/zut/doi/10.3931/e-rara-468; ../familia/index.html#LONGO
recep-rudolphine,1627,1627,no,The Rudolphine Tables (1627),Science,A,,posthumous,1627,The observation logs,"Christianson, On Tycho's Island (2000)",https://archive.org/details/den-kbd-pil-130018170346-001; ../familia/index.html#RUDOLF2
recep-rundetaarn,1637,1728,no,"The Round Tower (Rundetårn), Copenhagen — Tycho's catalogue continued",Legacy,A,extant,posthumous,1637,The star catalogue,"Biographical Encyclopedia of Astronomers (Springer, 2007), s.v. Severin/Longomontanus",https://www.rundetaarn.dk/; ../instrumenta/index.html#inst-globe
recep-crater-tycho,1651,,yes,The lunar crater Tycho,Sky,A,extant,posthumous,1651,,"Riccioli, Almagestum novum (Bologna 1651); IAU Gazetteer of Planetary Nomenclature, feature 6163 (Tycho)",https://planetarynames.wr.usgs.gov/Feature/6163
recep-gassendi-vita,1654,1654,no,"Gassendi, Tychonis Brahei vita (1654)",Biography,A,,posthumous,1654,,"Gassendi, Tychonis Brahei vita (Paris 1654; The Hague 1655)",https://archive.org/details/den-kbd-pil-130018157889-001; ../iconographia/index.html#icon-gassendi-frontispiece
recep-observations-opera-omnia,1655,1929,no,The observation archive → Copenhagen → the Opera Omnia,Data,A,extant,posthumous,1655 / 1913–29,The observation logs,"Mortensen, 'Fra Tycho Brahes Bogsamling' (Fund og Forskning 2, 1955); Dreyer (ed.), Tychonis Brahe Opera Omnia (1913–1929)",../observationes/index.html#s-register; https://catalog.hathitrust.org/Record/000865775
recep-blaeu-atlas-1664,1664,1664,no,Joan Blaeu’s Grooten Atlas — Tycho’s instruments in colour for a vernacular public (1664),Legacy,A,,posthumous,1664,Mechanica (1598),"Blaeu, Grooten Atlas (Amsterdam, 1664) — Utrecht AC 62 Rariora",../blaeu-reader/index.html; https://objects.library.uu.nl/manifest/iiif/v3/20.500.14918-241046
recep-historia-coelestis-1666,1666,1666,no,Historia Coelestis (Augsburg 1666) — the observations first in print,Data,A,,posthumous,1666,The observation logs,"Brahe, Historia coelestis (Augsburg 1666); Dreyer (ed.), Tychonis Brahe Opera Omnia (1913–1929)",https://www.e-rara.ch/zut/doi/10.3931/e-rara-10139; https://archive.org/details/den-kbd-pil-220022001400-001; ../familia/index.html#BARTHOLIN
recep-comet-recomputation-19c,1844,1854,no,Tycho's comets recomputed — the 19th-century orbit reductions (1854),Science,A,,posthumous,1844–1854,The observation logs,"Schjellerup, orbit of the comet of 1580 from Tycho's observations (Vid. Selsk. Skr., 1854); Dreyer (ed.), Tychonis Brahe Opera Omnia (1913–1929); Hind, 'Reduction of Tycho Brahe's Observations of the Comet of 1590' (MNRAS 7, 1846); Dreyer, Tycho Brahe (Edinburgh, 1890); Thoren, The Lord of Uraniborg (1990)",../observationes/index.html#vc-O_GKS1826
recep-dreyer-biography-1890,1890,1890,no,"Dreyer, Tycho Brahe (Edinburgh 1890) — the foundational biography",Biography,A,,posthumous,1890,,"Dreyer, Tycho Brahe (Edinburgh, 1890)",https://archive.org/details/tychobrahepictur00dreyuoft; ../familia/index.html#DREYER_J
recep-exhumation-1901,1901,1901,no,The 1901 exhumation (the tercentenary),Legacy,B,,posthumous,1901,,"The 2010 exhumation project (Aarhus University with the National Museum, Prague); National Museum, Prague, 'Research of the tomb and remains of Tycho Brahe'",https://muzeum3000.nm.cz/national-museum-news/research-of-the-tomb-and-remains-of-tycho-brahe
recep-opera-omnia,1913,1929,no,Tychonis Brahe Opera Omnia (Copenhagen 1913–29) — the complete critical edition,Data,A,extant,posthumous,1913–1929,The observation logs,"Dreyer (ed.), Tychonis Brahe Opera Omnia (1913–1929)",https://catalog.hathitrust.org/Record/000865775; https://tekstnet.dk/books/brahe-t_letters/; ../epistolarium/index.html; ../familia/index.html#DREYER_J
