no,key,title,title_en,form,date,certainty,period,channel,language,addressees,printed,nielsen,tboo,sections,extent,textual_notes,commentary,persons,status,grade,text
1,brahe-t_diarium-anni-1573,Diarium anni 1573,Diary for the year 1573,Almanac,1572–1573,secure,early,manuscript,la,,first_printed_in_tboo,"none — no printed Diarium 1573 exists in Nielsen's Brahe corpus (Dansk Bibliografi 1551–1600, §§424-433); the only 1573 Tycho imprint is §429, De nova... stella (Copenhagen, Lorentz Benedicht)",I 75–130,1,10 ¶ · 1 §,21,0,0,researched,A,scripta/texts/brahe-t_diarium-anni-1573.html
2,brahe-t_fratri-gemello,Fratri gemello,To his twin brother,Elegy,1572,secure,early,separate,la_da,The stillborn twin brother,printed_in_lifetime,"Nielsen, Dansk Bibliografi 1551–1600, no. 424",IX 173,1,27 lines · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_fratri-gemello.html
3,brahe-t_de-nova-stella,De nova stella,On the new star,Treatise,1573,secure,early,book,la_da,Johannes Pratensis,printed_in_lifetime,429,I 7–72,14,390 ¶ · 14 §,609,211,192,researched,A,scripta/texts/brahe-t_de-nova-stella.html
4,brahe-t_astrologiae-meteorologicae-fragmentum,Astrologiæ meteorologicæ fragmentum,Fragment on meteorological astrology,Fragment,undated (the edition: 1574),unknown,early,manuscript,la,,first_printed_in_tboo,,I 177–178,1,2 ¶ · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_astrologiae-meteorologicae-fragmentum.html
5,brahe-t_de-disciplinis-mathematicis-oratio,De disciplinis mathematicis oratio,Oration on the mathematical disciplines,Oration,1574,secure,early,posthumous,la_da,Frederik II,printed_posthumously,,I 145–173,2,37 ¶ · 2 §,431,68,0,researched,A,scripta/texts/brahe-t_de-disciplinis-mathematicis-oratio.html
6,brahe-t_andreae-welleio,Andreæ Welleio Saxonis interpreti,"To Anders Sørensen Vedel, translator of Saxo",Poem,1575,probable,early,manuscript,la,Anders Sørensen Vedel,first_printed_in_tboo,,IX 174,1,17 lines · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_andreae-welleio.html
7,brahe-t_epitaphium-kirstinae,Epitaphium filiæ Kirstinæ,Epitaph for his daughter Kirstine,Epitaph,1576,probable,early,posthumous,la,"Kirstine Brahe, his daughter",printed_posthumously,,IX 174,1,16 lines · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_epitaphium-kirstinae.html
8,brahe-t_additiones-de-eclipsi-lunae-1573,Additiones ad commentationem de eclipsi lunæ anni 1573,Additions to the commentary on the lunar eclipse of the year 1573,Supplement,after April 1588,probable,early,manuscript,la,,first_printed_in_tboo,none,I 131–140,3,41 ¶ · 3 §,33,0,0,researched,B,scripta/texts/brahe-t_additiones-de-eclipsi-lunae-1573.html
9,brahe-t_epitaphium-pratensis,Epitaphium Johanni Pratensi,Epitaph for Johannes Pratensis,Epitaph,1576; printed 1584,secure,hven,separate,la,Johannes Pratensis,printed_in_lifetime,431,IX 176–177,1,66 lines · 1 §,7,0,0,researched,A,scripta/texts/brahe-t_epitaphium-pratensis.html
10,brahe-t_fundamentalis-uraniburgi-lapis,Fundamentalis Uraniburgi lapis,The foundation stone of Uraniborg,Inscription,1576,probable,hven,others,la,Frederik II; Charles de Dançay,printed_in_lifetime,,IX 175,1,8 lines · 1 §,2,0,0,researched,B,scripta/texts/brahe-t_fundamentalis-uraniburgi-lapis.html
11,brahe-t_horoscopus-principis-christiani,Horoscopus principis Christiani,Horoscope of Prince Christian,Horoscope,1577,secure,hven,manuscript,la,"Christian, prince (Christian IV); Frederik II",first_printed_in_tboo,,I 181–208,4,63 ¶ · 4 §,91,0,0,researched,A,scripta/texts/brahe-t_horoscopus-principis-christiani.html
12,brahe-t_horoscopus-principis-huldarici,Horoscopus principis Huldarici,Horoscope of Prince Ulrik,Horoscope,1579,secure,hven,manuscript,la,"Ulrik, prince; Frederik II",first_printed_in_tboo,none — no horoscope appears anywhere in Nielsen's Brahe entries,I 211–250,8,88 ¶ · 8 §,94,0,0,researched,A,scripta/texts/brahe-t_horoscopus-principis-huldarici.html
13,brahe-t_inskriptioner,Indskrifter fra Uraniborg,Inscriptions from Uraniborg,Inscription,c. 1580–1585,uncertain,hven,posthumous,la,,printed_posthumously,none,VI 368,1,9 lines · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_inskriptioner.html
14,brahe-t_horoscopus-principis-johannis,Horoscopus principis Johannis,Horoscope of Prince Hans,Horoscope,1583,secure,hven,manuscript,la,"Hans, prince; Frederik II",first_printed_in_tboo,"none — no horoscope appears anywhere in Nielsen's enumeration of Tycho's printed corpus (Dansk Bibliografi 1551–1600, §§ 424-433, 975-976; Bogtrykkeri paa Hveen, 1921)",I 253–280,5,115 ¶ · 5 §,6,0,0,researched,A,scripta/texts/brahe-t_horoscopus-principis-johannis.html
15,brahe-t_erico-lange,Erico Lange,To Erik Lange,Elegy,1584,secure,hven,separate,la_da,Erik Lange,printed_in_lifetime,,XV 3–5,1,88 lines · 1 §,11,0,0,researched,B,scripta/texts/brahe-t_erico-lange.html
16,brahe-t_jacobo-ulfeldio,Jacobo Ulfeldio,To Jacob Ulfeldt,Elegy,1584,secure,hven,separate,la_da,Jacob Ulfeldt,printed_in_lifetime,"§426 (Lauritz Nielsen, Dansk Bibliografi 1551–1600); described at length in Nielsen, 'Tycho Brahes Bogtrykkeri paa Hveen' (1921), p. 179",IX 179–180,1,47 lines · 1 §,0,0,0,researched,A,scripta/texts/brahe-t_jacobo-ulfeldio.html
17,brahe-t_typographiae,Typographiæ,On printing,Inscription,1584 or later,uncertain,hven,posthumous,la,,printed_posthumously,none — no Nielsen number,IX 175,1,4 lines · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_typographiae.html
18,brahe-t_henrico-ranzovio,Henrico Ranzovio,To Heinrich Rantzau,Elegy,1585,secure,hven,separate,la_da,Henrik Rantzau,printed_in_lifetime,425,IX 187–190,1,116 lines · 1 §,2,0,0,researched,A,scripta/texts/brahe-t_henrico-ranzovio.html
19,brahe-t_nicolao-kaasio,Nicolao Kaasio,To Niels Kaas,Elegy,1585,secure,hven,separate,la_da,Niels Kaas,printed_in_lifetime,427,IX 180–187,1,292 lines · 1 §,2,0,0,researched,A,scripta/texts/brahe-t_nicolao-kaasio.html
20,brahe-t_si-quid-agat,Si quid agat,If you ask what she is doing,Epigram,undated (the edition: c. 1585),unknown,hven,manuscript,la,,first_printed_in_tboo,,IX 215,1,7 lines · 1 §,0,0,0,researched,B,scripta/texts/brahe-t_si-quid-agat.html
21,brahe-t_de-cometa-1585,De cometa anni 1585,On the comet of the year 1585,Treatise,1586,secure,hven,others,la,Elias Olsen Morsing,printed_in_lifetime,1170,IV 399–414,2,67 ¶ · 2 §,68,0,0,researched,A,scripta/texts/brahe-t_de-cometa-1585.html
